Name,Website,Email,Phone,Industries,Goods,"City, Country",Address,Description
1st National Bank of St Lucia,www.1stnationalbankonline.com,,,,,,,
20th Century Fox,www.foxmovies.com,,,Film,"Motion pictures, television films"," Los Angeles, United States",,
21st Century Fox,www.21cf.com,,,Mass media,"Broadcasting, Movie production, TV production, Cable television, Record label, Internet","New York City, New York, United States","1211 Avenue of the Americas, New York City","21st Century Fox is the world’s premier portfolio of cable, broadcast, film, pay TV and satellite assets spanning six continents across the globe. Reaching more than 1.8 billion subscribers in approximately 50 local languages every day, 21st Century Fox is home to a global portfolio of cable and broadcasting networks and properties, including FOX, FX, FXX, FXM, FS1, Fox News Channel, Fox Business Network, FOX Sports, Fox Sports Networks, National Geographic Partners, STAR India, 28 local television stations in the U.S. and more than 350 international channels; film studio Twentieth Century Fox Film; and television production studios Twentieth Century Fox Television and a 50% ownership interest in Endemol Shine Group. The Company also holds a 39.1% ownership interest in Sky, Europe’s leading entertainment company, which serves 21 million customers across five countries. For more information about 21st Century Fox, please visit www.21CF.com."
3i Group,www.3i.com,,,Investment Services,,"London,United Kingdom",,"3i Group Plc engages in investment management, focused on mid-market Private Equity, Infrastructure and Debt management. It operates through three business lines: Private Equity, Infrastructure and Debt Management. The Private Equity business focuses on investing in northern Europe, North America and Brazil. The Infrastructure business focuses on investing in utilities, transportation and social infrastructure in Europe. The Debt Management business specializes in the management of third-party capital, invested in non-investment grade debt in Europe and the United States. The company was founded in 1945 and is headquartered in London, the United Kingdom."
3M,www.3m.com,,,Conglomerates,,"St. Paul, Minnesota,United States",,"3M Co. is a diversified technology company serving customers and communities with innovative products and services. The company operates its business through five segments: Industrial, Safety and Graphics, Electronics and Energy, Health Care and Consumer. The Industrial segment serves a broad range of markets, such as automotive original equipment manufacturer and automotive aftermarket, electronics, appliance, paper and printing, packaging, food and beverage, and construction. The Safety and Graphics segment serves a broad range of markets that increase the safety, security and productivity of people, facilities and systems. The Electronics and Energy segment serves customers in electronics and energy markets, including solutions for dependable, cost-effective, high-performance electronic devices, telecommunications networks, electrical products, power generation and distribution, and infrastructure protection. The Health Care segment serves markets that include medical clinics and hospitals, pharmaceuticals, dental and orthodontic practitioners, health information systems, and food manufacturing and testing. The Consumer segment serves markets that include consumer retail, office retail, home improvement, building maintenance and other markets. 3M was founded by Henry S. Bryan, Hermon W. Cable, John Dwan, William A. McGonagle and J. Danley Budd in 1902 and is headquartered in St. Paul, MN."
77 Bank,www.77bank.co.jp,,,Financial Services,,"Sendai,Japan",,"The 77 Bank, engages in the provision of banking and financial services. It operates through the following segments: Banking, Leasing, and Other. The Banking segment provides customers with banking services including deposit, lending, and exchange. The Leasing segment offers customers with leasing services. The Other segment consists of credit guarantee and credit card businesses. The company was founded on December 9, 1878 and is headquartered in Sendai, Japan."
A K Khan & Company,www.akkhan.com,,,Conglomerates,,"Chittagong, Bangladesh.",,
A&W Restaurants,www.awrestaurants.com,,,Fast food,"Hot dogs, root beer, cheese curds, hamburgers, chicken","Lexington, Kentucky, United States",,
A. Le Coq,www.alecoq.ee,,,Food production,"Beer, cider, mineral water, juice, Long Drinks, Soft Drinks","Tartu, Estonia",,
A.S. Watson Group,www.aswatson.com,,,Health & Beauty Retail,"Health, Beauty & Lifestyle Brands",Hong Kong,,
Aabsal,www.aabsalco.com,,,"Major appliances, Small appliances","Clothes washers and dryers, refrigerators, freezers, dishwashers, ranges, compactors, room air conditioners, microwaves ovens, counter top appliances","Tehran, Iran",,
AAC Capital Partners,www.abnamro.com,,,Financial services," Asset management
Commercial banking
Investment banking
Private banking
Retail banking","Amsterdam, Netherlands",,
AAC Technologies Holdings,www.aactechnologies.com,,,,,China,,"AAC Technologies Holdings, engages in the manufacture and distribution of miniaturized acoustic components. The firm produces speakers, receivers, microphones, vibrator, lens, and voice coil motor. It operates through the following segments: Dynamic Components, Haptics and Radio Frequencies, Micro Electro-Mechanical System Components, and Other Products. The company was founded by Zheng Min Pan and Chun Yuan Wu in 1993 and is headquartered in Hong Kong."
Aareal Bank,www.aareal-bank.com,,,Thrifts & Mortgage Finance,,"Wiesbaden,Germany",,"Aareal Bank AG is engages in the provision of property financing and consulting services. It operates through the Structured Property Financing and Consulting Services segments. The Structured Property Financing segment provides provides property financing solutions for national and international clients on three continents. The Consulting Services segment offers services for the housing and the commercial property industry as well as for the energy and waste disposal market. This segment also offers real estate marketing, real estate management, specialized information technology services, and long-term loans. The company was founded on July 20, 1923 and is headquartered in Wiesbaden, Germany."
